,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
258,realtor,Москва,7,16,1,41.0,11500000,1979,24.21394824167743,9.6,Текстильщики,Саратовская ,Текстильщики,280487.8
259,developer,Москва,29,29,5,143.8,95627000,2025,94.0,12.5,Нагатино-Садовники,Варшавское шоссе,Нагатинская,665000.0
260,real_estate_agent,Москва,3,5,5,154.0,75000000,1999,97.68636910041464,12.0,Таганский,Наставнический переулок,Курская,487012.99
261,developer,Москва,3,25,2,64.3,50154000,2027,55.4,9.8,Фили-Давыдково,Малая Филевская ,Кунцевская,780000.0
262,real_estate_agent,Москва,31,65,2,51.1,50000000,2021,21.640959837922395,16.8,Пресненский,Краснопресненская набережная,Москва-Сити,978473.58
263,realtor,Москва,3,27,4,102.0,58700000,2021,65.0,20.0,Раменки, Янковского,Аминьевская,575490.2
264,developer,Москва,5,59,2,35.2,14245440,2028,19.7,12.7,Можайский,Верейская ,Давыдково,404700.0
265,realtor,Москва,2,5,2,44.0,13700000,1964,30.0,8.0,Преображенское,Большая Черкизовская ,Преображенская площадь,311363.64
266,real_estate_agent,Москва,22,53,4,130.0,100000000,2012,82.66313689664938,40.0,Раменки,Мосфильмовская ,Ломоносовский проспект,769230.77
267,realtor,Москва,5,18,5,213.0,95000000,2001,135.0,12.0,Раменки,Мичуринский проспект,Раменки,446009.39
268,realtor,Москва,5,14,2,53.0,21990000,2001,30.0,10.0,Нагорный,Ялтинская ,Варшавская,414905.66
269,real_estate_agent,Москва,5,5,3,93.4,24990000,1957,56.5,8.2,Коптево,Коптевская ,Коптево,267558.89
270,real_estate_agent,Москва,8,9,2,44.4,15500000,1968,27.8,5.5,Южнопортовый,5-я Кожуховская ,Кожуховская,349099.1
271,real_estate_agent,Москва,27,30,4,83.0,28500000,2025,54.0,14.0,Южнопортовый,Шарикоподшипниковская ,Дубровка,343373.49
272,real_estate_agent,Москва,15,18,4,169.0,83900000,2005,98.0,21.0,Раменки,Минская ,Ломоносовский проспект,496449.7
273,real_estate_agent,Москва,11,12,1,61.3,38000000,2019,33.786253448357314,10.0,Тверской,2-я Брестская ,Маяковская,619902.12
274,homeowner,Москва,2,17,2,58.0,16650000,2014,31.680766902353156,10.1,Гольяново,Амурская ,Черкизовская,287068.97
275,real_estate_agent,Москва,5,16,3,77.5,27200000,1985,46.0,10.3,Войковский,5-й Новоподмосковный переулок,Войковская,350967.74
276,real_estate_agent,Москва,2,27,3,59.0,27990000,2025,38.6,15.4,Замоскворечье,Летниковская ,Павелецкая,474406.78
277,developer,Москва,2,24,1,43.5,17768630,2025,20.9588174884542,18.5,Очаково-Матвеевское,Мичуринский проспект,Озёрная,408474.25
278,homeowner,Москва,2,5,1,30.8,12000000,1962,18.9,5.5,Фили-Давыдково,Малая Филевская ,Филёвский парк,389610.39
279,real_estate_agent,Москва,15,17,2,86.0,46000000,2014,50.462816162228975,16.0,Раменки,Мосфильмовская ,Раменки,534883.72
280,realtor,Москва,10,27,5,148.0,78000000,2002,92.7803908793569,22.0,Хорошево-Мневники,Карамышевская набережная,Народное Ополчение,527027.03
281,real_estate_agent,Москва,5,12,1,28.5,16500000,2020,16.1,7.4,Западное Дегунино,Ильменский проезд,Селигерская,578947.37
282,real_estate_agent,Москва,18,21,5,230.0,77500000,2012,150.0,25.0,Ломоносовский,Ленинский проспект,Вавиловская,336956.52
283,real_estate_agent,Москва,1,8,3,62.0,19800000,1960,51.0,6.0,Соколиная гора,Окружной проезд,Измайлово,319354.84
284,unknown,Москва,2,14,4,93.4,36500000,2022,62.0,22.0,Останкинский,Сельскохозяйственная ,Ботанический сад,390792.29
285,real_estate_agent,Москва,3,10,3,110.4,97500000,2011,57.1,17.4,Тверской, Фадеева,Новослободская,883152.17
286,real_estate_agent,Москва,3,21,2,66.5,65990000,2017,38.07160878015992,15.1,Пресненский, Сергея Макеева,Улица 1905 года,992330.83
